 
                                                                                                                                                                                                                                                                
 
FREQ 프로시저

                     Cluster ID
 
                                    누적       누적
CLUSTER      빈도      백분율       빈도      백분율
----------------------------------------------------
     11          19      3.80           19      3.80
     12          31      6.20           50     10.00
     19          46      9.20           96     19.20
     20          45      9.00          141     28.20
     21          36      7.20          177     35.40
     22          30      6.00          207     41.40
     23          32      6.40          239     47.80
     24          19      3.80          258     51.60
     25          14      2.80          272     54.40
     29          81     16.20          353     70.60
     34          27      5.40          380     76.00
     37          36      7.20          416     83.20
     38          13      2.60          429     85.80
     40          41      8.20          470     94.00
     42          30      6.00          500    100.00
