 
                                                                                                                                                                                                                                                                
 
 
대체 개수

OBS    변수       레이블     역할     분석    평가

  1    CLAGE      CLAGE      INPUT     118     41 
  2    CLNO       CLNO       INPUT      28      9 
  3    DEBTINC    DEBTINC    INPUT      40     15 
  4    DELINQ     DELINQ     INPUT      72     18 
  5    DEROG      DEROG      INPUT      84     46 
  6    LOAN       LOAN       INPUT      67     23 
  7    MORTDUE    MORTDUE    INPUT      66     27 
  8    NINQ       NINQ       INPUT      89     32 
  9    VALUE      VALUE      INPUT      64     25 
 10    YOJ        YOJ        INPUT      16      2 
