 
                                                                                                                                                                                                                                                                
 
 
구간 변수에 대한 제한 및 대체값

                                       대체값 하                 대체값 상
변수       변수 대체           하한           한         상한           한

CLAGE      REP_CLAGE          -5.56        -5.56       347.34       347.34
CLNO       REP_CLNO           -9.46        -9.46        52.11        52.11
DEBTINC    REP_DEBTINC         7.21         7.21        60.39        60.39
DELINQ     REP_DELINQ         -3.08        -3.08         4.02         4.02
DEROG      REP_DEROG          -2.23        -2.23         2.74         2.74
LOAN       REP_LOAN       -15417.35    -15417.35     52848.04     52848.04
MORTDUE    REP_MORTDUE    -57533.86    -57533.86    205763.34    205763.34
NINQ       REP_NINQ           -4.02        -4.02         6.39         6.39
VALUE      REP_VALUE      -71528.23    -71528.23    276305.27    276305.27
YOJ        REP_YOJ           -14.03       -14.03        31.81        31.81
